Protocol,Stage,Region,Count,Total_Waves,Percentage
proto3,pre,lingual R,14,23,60.86956521739131
proto3,pre,lateralorbitofrontal L,19,23,82.6086956521739
proto3,pre,precentral R,13,23,56.52173913043478
proto3,pre,superiortemporal R,19,23,82.6086956521739
proto3,pre,middletemporal R,19,23,82.6086956521739
proto3,pre,parstriangularis R,12,23,52.17391304347826
proto3,pre,parsorbitalis R,11,23,47.82608695652174
proto3,pre,parsorbitalis L,10,23,43.47826086956522
proto3,pre,postcentral R,13,23,56.52173913043478
proto3,pre,caudalmiddlefrontal L,11,23,47.82608695652174
proto3,pre,superiorparietal L,21,23,91.30434782608695
proto3,pre,inferiortemporal R,20,23,86.95652173913044
proto3,pre,lateraloccipital L,20,23,86.95652173913044
proto3,pre,rostralmiddlefrontal R,18,23,78.26086956521739
proto3,pre,superiortemporal L,16,23,69.56521739130434
proto3,pre,entorhinal L,9,23,39.130434782608695
proto3,pre,parstriangularis L,11,23,47.82608695652174
proto3,pre,superiorfrontal L,19,23,82.6086956521739
proto3,pre,lateralorbitofrontal R,21,23,91.30434782608695
proto3,pre,superiorparietal R,15,23,65.21739130434783
proto3,pre,insula L,11,23,47.82608695652174
proto3,pre,rostralmiddlefrontal L,18,23,78.26086956521739
proto3,pre,inferiorparietal R,15,23,65.21739130434783
proto3,pre,precentral L,11,23,47.82608695652174
proto3,pre,fusiform R,16,23,69.56521739130434
proto3,pre,parsopercularis R,10,23,43.47826086956522
proto3,pre,insula R,12,23,52.17391304347826
proto3,pre,middletemporal L,19,23,82.6086956521739
proto3,pre,supramarginal L,7,23,30.434782608695656
proto3,pre,parsopercularis L,9,23,39.130434782608695
proto3,pre,superiorfrontal R,22,23,95.65217391304348
proto3,pre,lateraloccipital R,18,23,78.26086956521739
proto3,pre,inferiorparietal L,15,23,65.21739130434783
proto3,pre,supramarginal R,10,23,43.47826086956522
proto3,pre,rostralanteriorcingulate R,10,23,43.47826086956522
proto3,pre,caudalanteriorcingulate R,9,23,39.130434782608695
proto3,pre,caudalanteriorcingulate L,7,23,30.434782608695656
proto3,pre,lingual L,15,23,65.21739130434783
proto3,pre,caudalmiddlefrontal R,8,23,34.78260869565217
proto3,pre,pericalcarine L,8,23,34.78260869565217
proto3,pre,precuneus L,13,23,56.52173913043478
proto3,pre,parahippocampal L,7,23,30.434782608695656
proto3,pre,posteriorcingulate L,3,23,13.043478260869565
proto3,pre,cuneus L,13,23,56.52173913043478
proto3,pre,transversetemporal R,2,23,8.695652173913043
proto3,pre,postcentral L,11,23,47.82608695652174
proto3,pre,rostralanteriorcingulate L,13,23,56.52173913043478
proto3,pre,precuneus R,12,23,52.17391304347826
proto3,pre,fusiform L,13,23,56.52173913043478
proto3,pre,paracentral R,7,23,30.434782608695656
proto3,pre,paracentral L,6,23,26.08695652173913
proto3,pre,parahippocampal R,9,23,39.130434782608695
proto3,pre,medialorbitofrontal R,15,23,65.21739130434783
proto3,pre,inferiortemporal L,16,23,69.56521739130434
proto3,pre,posteriorcingulate R,2,23,8.695652173913043
proto3,pre,medialorbitofrontal L,11,23,47.82608695652174
proto3,pre,isthmuscingulate L,4,23,17.391304347826086
proto3,pre,isthmuscingulate R,7,23,30.434782608695656
proto3,pre,cuneus R,6,23,26.08695652173913
proto3,pre,entorhinal R,4,23,17.391304347826086
proto3,pre,pericalcarine R,8,23,34.78260869565217
proto3,pre,transversetemporal L,1,23,4.3478260869565215
proto3,stim,lateralorbitofrontal L,3,3,100.0
proto3,stim,precentral R,3,3,100.0
proto3,stim,superiortemporal R,3,3,100.0
proto3,stim,middletemporal R,3,3,100.0
proto3,stim,parstriangularis R,1,3,33.33333333333333
proto3,stim,parsorbitalis R,2,3,66.66666666666666
proto3,stim,postcentral R,3,3,100.0
proto3,stim,inferiortemporal R,3,3,100.0
proto3,stim,rostralmiddlefrontal R,3,3,100.0
proto3,stim,superiortemporal L,3,3,100.0
proto3,stim,medialorbitofrontal R,2,3,66.66666666666666
proto3,stim,medialorbitofrontal L,3,3,100.0
proto3,stim,caudalmiddlefrontal R,2,3,66.66666666666666
proto3,stim,superiorfrontal L,3,3,100.0
proto3,stim,lateralorbitofrontal R,2,3,66.66666666666666
proto3,stim,parsopercularis R,2,3,66.66666666666666
proto3,stim,insula R,1,3,33.33333333333333
proto3,stim,superiorfrontal R,3,3,100.0
proto3,stim,rostralanteriorcingulate L,2,3,66.66666666666666
proto3,stim,supramarginal R,1,3,33.33333333333333
proto3,stim,rostralanteriorcingulate R,1,3,33.33333333333333
proto3,stim,parsorbitalis L,1,3,33.33333333333333
proto3,stim,caudalmiddlefrontal L,2,3,66.66666666666666
proto3,stim,superiorparietal L,2,3,66.66666666666666
proto3,stim,caudalanteriorcingulate R,2,3,66.66666666666666
proto3,stim,caudalanteriorcingulate L,2,3,66.66666666666666
proto3,stim,lateraloccipital L,2,3,66.66666666666666
proto3,stim,superiorparietal R,2,3,66.66666666666666
proto3,stim,rostralmiddlefrontal L,2,3,66.66666666666666
proto3,stim,posteriorcingulate L,1,3,33.33333333333333
proto3,stim,precuneus L,2,3,66.66666666666666
proto3,stim,fusiform R,2,3,66.66666666666666
proto3,stim,postcentral L,2,3,66.66666666666666
proto3,stim,middletemporal L,1,3,33.33333333333333
proto3,stim,precuneus R,2,3,66.66666666666666
proto3,stim,cuneus R,2,3,66.66666666666666
proto3,stim,lateraloccipital R,2,3,66.66666666666666
proto3,stim,paracentral R,1,3,33.33333333333333
proto3,stim,inferiortemporal L,2,3,66.66666666666666
proto3,stim,lingual R,1,3,33.33333333333333
proto3,stim,parahippocampal R,1,3,33.33333333333333
proto3,stim,lingual L,1,3,33.33333333333333
proto3,stim,entorhinal L,1,3,33.33333333333333
proto3,stim,isthmuscingulate L,1,3,33.33333333333333
proto3,stim,pericalcarine L,1,3,33.33333333333333
proto3,stim,cuneus L,1,3,33.33333333333333
proto3,stim,precentral L,1,3,33.33333333333333
proto3,stim,fusiform L,1,3,33.33333333333333
proto3,post,lateralorbitofrontal L,25,34,73.52941176470588
proto3,post,precentral R,19,34,55.88235294117647
proto3,post,middletemporal R,23,34,67.64705882352942
proto3,post,superiortemporal R,25,34,73.52941176470588
proto3,post,parahippocampal R,13,34,38.23529411764706
proto3,post,parsorbitalis R,11,34,32.35294117647059
proto3,post,postcentral R,18,34,52.94117647058824
proto3,post,superiorparietal L,26,34,76.47058823529412
proto3,post,inferiortemporal R,27,34,79.41176470588235
proto3,post,lateraloccipital L,28,34,82.35294117647058
proto3,post,rostralmiddlefrontal R,24,34,70.58823529411765
proto3,post,medialorbitofrontal L,17,34,50.0
proto3,post,caudalmiddlefrontal R,17,34,50.0
proto3,post,parstriangularis L,18,34,52.94117647058824
proto3,post,lateralorbitofrontal R,26,34,76.47058823529412
proto3,post,superiorparietal R,27,34,79.41176470588235
proto3,post,inferiorparietal R,25,34,73.52941176470588
proto3,post,fusiform R,26,34,76.47058823529412
proto3,post,parsopercularis R,15,34,44.11764705882353
proto3,post,insula R,16,34,47.05882352941176
proto3,post,superiorfrontal R,30,34,88.23529411764706
proto3,post,precuneus R,22,34,64.70588235294117
proto3,post,lateraloccipital R,31,34,91.17647058823529
proto3,post,inferiorparietal L,25,34,73.52941176470588
proto3,post,supramarginal R,14,34,41.17647058823529
proto3,post,lingual R,26,34,76.47058823529412
proto3,post,parstriangularis R,15,34,44.11764705882353
proto3,post,parsorbitalis L,15,34,44.11764705882353
proto3,post,rostralanteriorcingulate R,15,34,44.11764705882353
proto3,post,caudalmiddlefrontal L,18,34,52.94117647058824
proto3,post,caudalanteriorcingulate R,13,34,38.23529411764706
proto3,post,lingual L,26,34,76.47058823529412
proto3,post,superiortemporal L,28,34,82.35294117647058
proto3,post,medialorbitofrontal R,16,34,47.05882352941176
proto3,post,superiorfrontal L,29,34,85.29411764705883
proto3,post,rostralmiddlefrontal L,22,34,64.70588235294117
proto3,post,insula L,17,34,50.0
proto3,post,precuneus L,20,34,58.82352941176471
proto3,post,precentral L,24,34,70.58823529411765
proto3,post,postcentral L,25,34,73.52941176470588
proto3,post,middletemporal L,28,34,82.35294117647058
proto3,post,supramarginal L,17,34,50.0
proto3,post,rostralanteriorcingulate L,16,34,47.05882352941176
proto3,post,fusiform L,22,34,64.70588235294117
proto3,post,paracentral R,11,34,32.35294117647059
proto3,post,entorhinal R,7,34,20.588235294117645
proto3,post,paracentral L,10,34,29.411764705882355
proto3,post,parsopercularis L,11,34,32.35294117647059
proto3,post,posteriorcingulate R,6,34,17.647058823529413
proto3,post,caudalanteriorcingulate L,7,34,20.588235294117645
proto3,post,posteriorcingulate L,4,34,11.76470588235294
proto3,post,inferiortemporal L,22,34,64.70588235294117
proto3,post,transversetemporal L,1,34,2.941176470588235
proto3,post,isthmuscingulate L,8,34,23.52941176470588
proto3,post,cuneus L,18,34,52.94117647058824
proto3,post,pericalcarine R,14,34,41.17647058823529
proto3,post,isthmuscingulate R,4,34,11.76470588235294
proto3,post,cuneus R,19,34,55.88235294117647
proto3,post,pericalcarine L,8,34,23.52941176470588
proto3,post,parahippocampal L,10,34,29.411764705882355
proto3,post,entorhinal L,7,34,20.588235294117645
proto3,post,transversetemporal R,8,34,23.52941176470588
