Protocol,Stage,Region,Count,Total_Waves,Percentage
proto4,pre,lingual R,10,16,62.5
proto4,pre,superiortemporal R,13,16,81.25
proto4,pre,middletemporal R,12,16,75.0
proto4,pre,parstriangularis R,6,16,37.5
proto4,pre,parsorbitalis R,6,16,37.5
proto4,pre,rostralanteriorcingulate R,11,16,68.75
proto4,pre,postcentral R,7,16,43.75
proto4,pre,inferiortemporal R,12,16,75.0
proto4,pre,caudalanteriorcingulate R,6,16,37.5
proto4,pre,lingual L,8,16,50.0
proto4,pre,lateraloccipital L,8,16,50.0
proto4,pre,rostralmiddlefrontal R,14,16,87.5
proto4,pre,medialorbitofrontal R,11,16,68.75
proto4,pre,medialorbitofrontal L,10,16,62.5
proto4,pre,superiorfrontal L,14,16,87.5
proto4,pre,lateralorbitofrontal R,13,16,81.25
proto4,pre,precentral L,9,16,56.25
proto4,pre,fusiform R,10,16,62.5
proto4,pre,parsopercularis R,9,16,56.25
proto4,pre,postcentral L,10,16,62.5
proto4,pre,middletemporal L,9,16,56.25
proto4,pre,insula R,7,16,43.75
proto4,pre,superiorfrontal R,15,16,93.75
proto4,pre,lateraloccipital R,12,16,75.0
proto4,pre,inferiorparietal L,7,16,43.75
proto4,pre,fusiform L,8,16,50.0
proto4,pre,paracentral R,4,16,25.0
proto4,pre,inferiortemporal L,10,16,62.5
proto4,pre,lateralorbitofrontal L,12,16,75.0
proto4,pre,precentral R,9,16,56.25
proto4,pre,parsorbitalis L,8,16,50.0
proto4,pre,caudalmiddlefrontal L,8,16,50.0
proto4,pre,superiorparietal L,11,16,68.75
proto4,pre,caudalanteriorcingulate L,3,16,18.75
proto4,pre,superiortemporal L,8,16,50.0
proto4,pre,caudalmiddlefrontal R,6,16,37.5
proto4,pre,rostralmiddlefrontal L,14,16,87.5
proto4,pre,insula L,6,16,37.5
proto4,pre,precuneus L,6,16,37.5
proto4,pre,cuneus L,6,16,37.5
proto4,pre,supramarginal L,2,16,12.5
proto4,pre,rostralanteriorcingulate L,7,16,43.75
proto4,pre,paracentral L,6,16,37.5
proto4,pre,parahippocampal R,2,16,12.5
proto4,pre,parstriangularis L,12,16,75.0
proto4,pre,pericalcarine L,2,16,12.5
proto4,pre,inferiorparietal R,8,16,50.0
proto4,pre,entorhinal R,3,16,18.75
proto4,pre,supramarginal R,4,16,25.0
proto4,pre,superiorparietal R,8,16,50.0
proto4,pre,posteriorcingulate L,2,16,12.5
proto4,pre,transversetemporal R,1,16,6.25
proto4,pre,isthmuscingulate R,2,16,12.5
proto4,pre,precuneus R,5,16,31.25
proto4,pre,cuneus R,2,16,12.5
proto4,pre,parahippocampal L,2,16,12.5
proto4,pre,posteriorcingulate R,1,16,6.25
proto4,pre,entorhinal L,2,16,12.5
proto4,pre,isthmuscingulate L,2,16,12.5
proto4,pre,parsopercularis L,3,16,18.75
proto4,pre,transversetemporal L,1,16,6.25
proto4,stim,middletemporal R,17,25,68.0
proto4,stim,lateraloccipital L,21,25,84.0
proto4,stim,superiorfrontal R,23,25,92.0
proto4,stim,cuneus R,9,25,36.0
proto4,stim,lateraloccipital R,21,25,84.0
proto4,stim,inferiorparietal R,14,25,56.00000000000001
proto4,stim,inferiorparietal L,20,25,80.0
proto4,stim,cuneus L,8,25,32.0
proto4,stim,superiorparietal L,21,25,84.0
proto4,stim,lateralorbitofrontal L,20,25,80.0
proto4,stim,precentral R,14,25,56.00000000000001
proto4,stim,superiortemporal R,18,25,72.0
proto4,stim,parsorbitalis L,9,25,36.0
proto4,stim,postcentral R,16,25,64.0
proto4,stim,caudalanteriorcingulate R,7,25,28.000000000000004
proto4,stim,caudalanteriorcingulate L,9,25,36.0
proto4,stim,lingual L,15,25,60.0
proto4,stim,rostralmiddlefrontal R,18,25,72.0
proto4,stim,caudalmiddlefrontal R,8,25,32.0
proto4,stim,parstriangularis L,12,25,48.0
proto4,stim,superiorfrontal L,22,25,88.0
proto4,stim,lateralorbitofrontal R,18,25,72.0
proto4,stim,superiorparietal R,17,25,68.0
proto4,stim,rostralmiddlefrontal L,15,25,60.0
proto4,stim,precuneus L,10,25,40.0
proto4,stim,precentral L,15,25,60.0
proto4,stim,fusiform R,18,25,72.0
proto4,stim,postcentral L,17,25,68.0
proto4,stim,insula R,8,25,32.0
proto4,stim,supramarginal L,14,25,56.00000000000001
proto4,stim,precuneus R,12,25,48.0
proto4,stim,entorhinal R,7,25,28.000000000000004
proto4,stim,inferiortemporal L,17,25,68.0
proto4,stim,supramarginal R,11,25,44.0
proto4,stim,paracentral L,9,25,36.0
proto4,stim,lingual R,16,25,64.0
proto4,stim,parstriangularis R,7,25,28.000000000000004
proto4,stim,parsorbitalis R,6,25,24.0
proto4,stim,inferiortemporal R,17,25,68.0
proto4,stim,superiortemporal L,18,25,72.0
proto4,stim,pericalcarine R,4,25,16.0
proto4,stim,entorhinal L,10,25,40.0
proto4,stim,pericalcarine L,6,25,24.0
proto4,stim,insula L,10,25,40.0
proto4,stim,posteriorcingulate L,4,25,16.0
proto4,stim,middletemporal L,17,25,68.0
proto4,stim,fusiform L,13,25,52.0
proto4,stim,parahippocampal R,6,25,24.0
proto4,stim,rostralanteriorcingulate R,14,25,56.00000000000001
proto4,stim,caudalmiddlefrontal L,14,25,56.00000000000001
proto4,stim,transversetemporal L,2,25,8.0
proto4,stim,medialorbitofrontal R,15,25,60.0
proto4,stim,medialorbitofrontal L,18,25,72.0
proto4,stim,parahippocampal L,9,25,36.0
proto4,stim,parsopercularis R,7,25,28.000000000000004
proto4,stim,rostralanteriorcingulate L,16,25,64.0
proto4,stim,isthmuscingulate L,6,25,24.0
proto4,stim,parsopercularis L,10,25,40.0
proto4,stim,transversetemporal R,3,25,12.0
proto4,stim,posteriorcingulate R,5,25,20.0
proto4,stim,paracentral R,5,25,20.0
proto4,stim,isthmuscingulate R,5,25,20.0
proto4,post,lateralorbitofrontal L,5,7,71.42857142857143
proto4,post,precentral R,5,7,71.42857142857143
proto4,post,superiortemporal R,4,7,57.14285714285714
proto4,post,middletemporal R,3,7,42.857142857142854
proto4,post,parsorbitalis R,3,7,42.857142857142854
proto4,post,caudalmiddlefrontal L,3,7,42.857142857142854
proto4,post,inferiortemporal R,5,7,71.42857142857143
proto4,post,rostralmiddlefrontal R,6,7,85.71428571428571
proto4,post,superiortemporal L,2,7,28.57142857142857
proto4,post,parstriangularis L,7,7,100.0
proto4,post,superiorfrontal L,6,7,85.71428571428571
proto4,post,lateralorbitofrontal R,6,7,85.71428571428571
proto4,post,rostralmiddlefrontal L,6,7,85.71428571428571
proto4,post,insula L,2,7,28.57142857142857
proto4,post,precentral L,4,7,57.14285714285714
proto4,post,parsopercularis R,1,7,14.285714285714285
proto4,post,postcentral L,3,7,42.857142857142854
proto4,post,insula R,4,7,57.14285714285714
proto4,post,middletemporal L,4,7,57.14285714285714
proto4,post,supramarginal L,1,7,14.285714285714285
proto4,post,parsopercularis L,3,7,42.857142857142854
proto4,post,superiorfrontal R,7,7,100.0
proto4,post,lingual R,2,7,28.57142857142857
proto4,post,parahippocampal R,3,7,42.857142857142854
proto4,post,parstriangularis R,3,7,42.857142857142854
proto4,post,parsorbitalis L,4,7,57.14285714285714
proto4,post,caudalanteriorcingulate R,5,7,71.42857142857143
proto4,post,lingual L,2,7,28.57142857142857
proto4,post,parahippocampal L,1,7,14.285714285714285
proto4,post,fusiform R,3,7,42.857142857142854
proto4,post,cuneus R,2,7,28.57142857142857
proto4,post,lateraloccipital R,4,7,57.14285714285714
proto4,post,fusiform L,1,7,14.285714285714285
proto4,post,inferiortemporal L,3,7,42.857142857142854
proto4,post,rostralanteriorcingulate R,3,7,42.857142857142854
proto4,post,superiorparietal L,3,7,42.857142857142854
proto4,post,caudalanteriorcingulate L,3,7,42.857142857142854
proto4,post,lateraloccipital L,3,7,42.857142857142854
proto4,post,medialorbitofrontal R,2,7,28.57142857142857
proto4,post,medialorbitofrontal L,2,7,28.57142857142857
proto4,post,caudalmiddlefrontal R,2,7,28.57142857142857
proto4,post,superiorparietal R,3,7,42.857142857142854
proto4,post,rostralanteriorcingulate L,2,7,28.57142857142857
proto4,post,inferiorparietal L,2,7,28.57142857142857
proto4,post,posteriorcingulate R,2,7,28.57142857142857
proto4,post,postcentral R,2,7,28.57142857142857
proto4,post,entorhinal L,1,7,14.285714285714285
proto4,post,posteriorcingulate L,2,7,28.57142857142857
proto4,post,paracentral R,1,7,14.285714285714285
proto4,post,paracentral L,1,7,14.285714285714285
proto4,post,inferiorparietal R,1,7,14.285714285714285
proto4,post,pericalcarine R,1,7,14.285714285714285
proto4,post,entorhinal R,1,7,14.285714285714285
proto4,post,supramarginal R,1,7,14.285714285714285
